Name,Keywords,Result
Machine Learning and Reinforcement Learning in Finance,"reinforcement learning, machine learning, finance","['Reinforcement learning', 'What is Reinforcement Learning? ï¿½ï¿½ï¿½ Overview of How it Works', 'Reinforcement Learning: An Introduction', 'Reinforcement learning', 'What is Reinforcement Learning? | Definition from ...', 'Reinforcement Learning 101', 'What Is Reinforcement Learning: A Step-by-Step Guide 2024!', 'Reinforcement Learning Tutorial', 'Reinforcement Learning', 'Second Edition']"
Coaching Skills for Managers,"coaching skills, managers","['9 Coaching Skills Every Effective Leader Needs', '12 Coaching Skills That Make You A Good Coach', '11 Coaching Skills That Make a Great Manager (+ Free ...', 'Essential Coaching Skills for Strong Leadership', 'Coaching Essentials', 'Must-Have Coaching Skills for Managers and Leaders', 'Coaching Skills for Managers Specialization', 'Coaching Skills | SkillsYouNeed', 'Managers and Leaders: Are They Different?', 'What Is a Manager?']"
Competitive Strategy and Organization Design,"organization design, competitive strategy","['Organization Design - Creating an Effective ...', '10 principles of organization design', 'Organizational Design: A Complete Guide', 'Design Your Organization to Match Your Strategy', 'Organization Design | People & Organizational Performance', 'Organization Design', 'What Is Organization Design? Types', 'Principles & ...', 'What is organization design?', 'What is Organizational Design?']"
GPU Programming,gpu programming,"['A Complete Introduction to GPU Programming With ...', 'GPU Accelerated Computing with C and C++', 'GPU programming: why', 'when and how? documentation', 'CUDA C++ Programming Guide', 'GPU Programming Specialization', 'Introduction to GPU Programming with Python & CUDA', 'CS 179: GPU Programming', 'General-purpose computing on graphics processing units', 'Introduction to GPU programming models']"
Inspired Leadership,inspired leadership,"['Inspired Leadership: Home', 'INL Home', 'Inspired Leadership Specialization [5 courses] (CWRU)', 'Inspired Leadership Initiative | University of Notre Dame', 'Inspired Leadership', 'Inspired Leaders', 'Inspired Leadership: How You Can Achieve Extraordinary ...', 'Products ï¿½ï¿½ï¿½ T""Subject: INspired Leadership""', 'The Inspired Leader - The Inspired Leader', 'Inspired Leadership']"
Python for Cybersecurity,"python, cybersecurity","['Welcome to Python.org', 'Python (programming language)', 'Python Tutorial', 'Online Python - IDE', 'Editor', 'Compiler', 'Interpreter', 'Python', 'Online Python Compiler (Interpreter)', 'Learn Python - Full Course for Beginners [Tutorial]']"
Arm Cortex-M Architecture and Software Development,"software development, arm cortex, architecture","['Software development', 'Learn the essentials of software development', 'What is Software Development?', 'What Is Software Development: Definition', 'Processes and ...', 'Software Development Explained: Process', 'Jobs & Types', 'Best Software Development Courses Online [2024]', 'Software Developers', 'Quality Assurance Analysts']"
.NET FullStack Developer,net fullstack developer,"['NET FullStack Developer Specialization', 'Who is a .NET Full Stack Developer?', 'How To Become A Full Stack .NET Developer', 'New Net Full Stack Developer Jobs (Apply Today)', 'How to Become a NET Full Stack Developer', 'Everything You Need to Know About Full Stack.NET ...', '1000+ Net Full Stack Developer jobs in United States (101 ...', 'What is Full Stack .NET Developer? Skills to Become a ...', 'Full Stack Net Developer jobs']"
Social Media Marketing in Practice,"social media marketing, practice","['Social Media Marketing for Businesses', 'How to Build Your Social Media Marketing Strategy', 'Social Media Marketing: The Ultimate Guide', 'Social Media Marketing In 2024: The Ultimate Guide', 'Complete Guide to Social Media Marketing (SMM)', 'What Is a Social Media Marketer? And How to Become One', 'Social Media Marketing (SMM): What It Is', 'How It Works', '...', 'Social Media Marketing']"
Advanced Business Analytics,advanced business analytics,"['Advanced Business Analytics Specialization', 'Advanced Business Analytics Program (ABAP)', 'Advanced Business Analytics Specialization', 'What Is Advanced Business Analytics?', 'What is advanced analytics?', 'Advanced Business Analytics (S', 'Advanced Business Analytics', 'ADVANCED BUSINESS ANALYTICS - Berkeley Haas', 'Advanced Certificate in Business Analytics']"
Clinical Data Science,clinical data science,"['Clinical Data Science Specialization [6 courses] (CU)', 'Clinical Data Science Fellowship | Stanford Medicine', 'What Is Clinical Data Science? (Part 1)', 'Home | Clinical Data Science | Mount Sinai', 'Introduction to Clinical Data Science', 'Clinical Data Scientist jobs', 'Introduction ï¿½ï¿½ï¿½Fundamentals of Clinical Data Scienceï¿½ï¿½ï¿½', 'Clinical Data Analytics Solutions', '1000+ Clinical Data Scientist jobs in United Sta']"
Cloud Computing Law,cloud computing law,"['Cloud Computing Law - Christopher Millard', 'What is Cloud Computing Law?', 'Cloud Computing Law Specialization [3 courses] (QMUL)', 'Cloud Computing Law: Millard', 'Christopher', 'Q&A: cloud computing law in USA', 'Cloud Computing Law: Millard', 'Christopher: 9780199671687', 'Understanding data privacy and cloud computing', 'Cloud Computing Law - Oxford Academic']"
Strategic Sales Management,strategic sales management,"['Strategic Sales Management Course', 'Strategic Sales Management Specialization', 'Strategic Sales Management | IESE Focused Programs', 'Strategic Sales Management - Harvard Online Courses', 'Strategic Sales Management', 'Sales Management: The Ultimate Guide (Process', 'Best ...', '21 Sales Management Strategies for Sales Leadership', 'Sales Management Process', 'Definition']"
Finance for Technical Managers,"technical managers, finance","['How To Become a Technical Manager', 'What does a Technical Manager do? Role & Responsibilities', 'What is a Technical Manager? Read our Job Description', 'Technical Manager Job Description: Taking on Bigger ...', 'Technical management', 'Bring your A-game: The common traits of top tech managers', 'Technical Manager: What Is It? and How to Become One?', 'What Does a Technical Manager Do', 'Stock Market Prices', 'Real-time Quotes & Business News']"
Communication For Everyone,"everyone, communication","['Everyone Definition & Meaning', 'EVERYONE Definition & Meaning', 'Everyone for every body', 'EVERYONE Synonyms: 11 Similar and Opposite Words', ""Everyone vs. Every Oneï¿½ï¿½ï¿½What's the Difference"", '16 Synonyms & Antonyms for EVERYONE', 'EVERYONE | English meaning - Cambridge Dictionary', 'EVERYONE definition and meaning | Collins English ...', 'everyone - Wiktionary', 'the free dictionary']"
SAS Advanced Programmer,sas advanced programmer,"['Advanced Programming Professional', 'SAS Advanced Programmer Professional Certificate', 'Advanced Programmer Using SAS 9.4', 'Advanced Programming Professional', 'How to Pass SAS Institute A00-212 Advanced ...', 'SAS Programming Advance Certification Course(SAS SQL', '...', 'SAS Certification Prep Guide: Advanced Programming for ...', 'Are SAS BASE and SAS Advanced certificates important ...', 'Advanced Programming Using SAS 9.4 Courses Online ...']"
SAS Visual Business Analytics,sas visual business analytics,"['Visual Business Analyst', 'SAS Visual Business Analytics Professional Certificate', 'Visual Business Analyst', 'Visual Business Analytics', 'SAS Visual Business Analytics Certificate Online', 'Getting Started with SAS Visual Analytics', 'Online Course: SAS Visual Business Analytics from SAS', 'SAS Visual Analytics', 'Is SAS visual analytics exam touch to crack?']"
Autodesk CAD/CAM/CAE for Mechanical Engineering,"mechanical engineering, autodesk cad, cam, cae","['What is Mechanical Engineering?', 'Mechanical engineering', 'What is Mechanical Engineering? - Columbia University', 'MIT Department of Mechanical Engineering: home', 'What is mechanical engineering?', 'Mechanical engineering | Design', 'Manufacturing & ...', 'Mechanical Engineer - Best Jobs', 'Mechanical Engineering ï¿½ï¿½ï¿½ U-M ME Website', 'CAD Software | 2D and 3D Computer-Aided Design']"
Digital Marketing Strategy and Planning,"digital marketing strategy, planning","['The Ultimate Guide to Marketing Strategies & How ...', 'Digital marketing strategy: How to structure a plan for 2024?', 'Digital Marketing Strategies: 11 Essential Marketing Tips', 'The Ultimate Guide to Digital Marketing Strategies', 'Digital Marketing Strategy: An Integrated Approach to ...', 'How to Create a Social Media Marketing Strategy [Template]', 'What Is a Digital Marketing Strategy?', '2024 Digital Marketing Strategy Guide', 'Planning', 'Planning Center: Church Management Software']"
Introduction to Electricity and Magnetism,"magnetism, introduction, electricity","['Magnetism', 'Magnetism - National Geographic Education', 'Magnetism | Definition', 'Examples', 'Physics', '& Facts', 'What is magnetism? Facts about magnetic fields and ...', 'Magnetism', 'History of magnetism', 'Magnetism: StudyJams! Science | Scholastic.com']"
Design of Experiments,"experiments, design","['Experiments with Google', 'Easy Science Experiments You Can Do at Home or at School', '70 Easy Science Experiments Using Materials You Already ...', 'Experiment', 'Science Experiments For Kids', 'Science Experiments', 'Design', 'Logo', 'Graphic & AI Design | Design.com', 'Canva: Visual Suite for Everyone']"
C++ Programming for Unreal Game Development,"unreal game development, c ++ programming","['Unreal Engine: The most powerful real-time 3D creation tool', 'Learn game development for free with Unreal Online ...', 'What steps do I take to learn solo game development in ...', 'Unreal Engine', 'Build Multi-Platform Video Games', 'Game Development with Unreal Engine', 'Welcome to Game Development', 'C++ Introduction', 'Learn C++ Programming', 'How do I actually start programming in C++ : r/Cplusplus']"
Plant Bioinformatic Methods,plant bioinformatic methods,"['Plant Bioinformatic Methods Specialization', 'Bioinformatics approaches and applications in plant ...', 'Plant Bioinformatics: Methods and Protocols', 'Plant Bioinformatics: Methods and Protocols ...', 'Bioinformatics Approach in Plant Genomic Research - PMC', 'What are the Different Types of Plant Bioinformatic Methods?', 'Plant Bioinformatics: Methods and Protocols', 'Plant Bioinformatics Course by University of Toronto', 'Bioinformatics approaches and applications in plant ...', 'Plant Bioinformatics: Methods and Protocols ...']"
Business and Marketing Strategies,"marketing strategies, business","['Marketing Strategy: What It Is', 'How It Works', 'and How to ...', 'The Ultimate Guide to Marketing Strategies & How ...', '10 Marketing Strategies to Fuel Your Business Growth', '50 Small Business Marketing Ideas for 2024', 'Making Your Marketing Strategy Work', 'What is marketing strategy?', 'Marketing Strategy: What It Is and How to Create One', 'Small Business Administration']"
Adapting: Career Development,"career development, adapting","['Career Development 101: A Complete Guide to ...', 'Career Development: Definition', 'Planning & Resources', 'Career Development | Department of Labor - New York State', 'What Is Career Development', 'and Why Is It Important to a ...', '10 Ways to Help Your Employees with Career Development', 'Career development', '7 Tips To Improve Your Career Development', 'A roadmap for career development: How to set your course']"
Software Development Lifecycle,software development lifecycle,"['What is SDLC? - Software Development Lifecycle Explained', 'What Is SDLC? Understand the Software Development Life ...', 'What Is the Software Development Life Cycle (SDLC) ...', 'Software Development Life Cycle (SDLC)', 'What Is the Software Development Life Cycle? SDLC ...', 'The Software Development Life Cycle (SDLC): 7 Phases ...', 'SDLC - Overview', 'Learn the essentials of software development', 'Systems development life cycle']"
Django for Everybody,"everybody, django","[""Backstreet Boys - Everybody (Backstreet's Back) (Lyrics)"", 'Nicki Minaj - Everybody (feat. Lil Uzi Vert) [Official Audio]', 'Everybody Definition & Meaning', 'Madonna - Everybody (Official Video) [HD]', 'EVERYBODY Definition & Meaning', 'Logic - Everybody (Official Audio)', 'EVERYBODY | English meaning - Cambridge Dictionary', ""Everybody (Backstreet's Back)"", 'Backstreet Boys - Everybody (Official Audio)', 'Django: The web framework for perfectionists with deadlines']"
Data Visualization & Dashboarding with R,"data visualization, r, dashboarding","['What Is Data Visualization? Definition & Examples', 'What is data visualization and why is it important?', 'Data Visualizations', 'Charts', 'and Graphs', 'Data Visualization: Definition', 'Benefits', 'and Examples', 'The Data Visualisation Catalogue', 'What Is Data Visualization? - Power BI - Microsoft']"
The Integration of Art and Science in Modern Dental Medicine,"modern dental medicine, science, integration, art","['Prospective Student Learning Opportunities', '11 Modern Dental Technologies that Make Your Visit ...', 'Modern Trends in Dental Medicine: An Update for Internists', 'Dental Health: Advances in Care', 'Modern Dental Treatments and Technologies That Make ...', 'The Role of Medicine and Technology in Shaping ...', 'The Integration of Art and Science in Modern Dental ...', 'Highpoint Dental Medicine', 'Dentistry', 'History of dentistry']"
Fundamentals of Flight mechanics,"flight mechanics, fundamentals","['Aircraft flight mechanics', 'Introduction to Aircraft Flight Mechanics', 'Introduction to this website ï¿½ï¿½ï¿½ Aircraft Flight Mechanics by ...', 'Aircraft and Avionics Equipment Mechanics and Technicians', 'Become an Aviation Mechanic', 'Mechanics of Flight: Phillips', 'Warren F.', 'Flight Mechanics', 'Dynamics of Flight', 'Flight mechanics - The basis Course by ISAE-SUPAERO']"
Embedding Sensors and Motors,"embedding sensors, motors","['Embedding Sensors & Motors Specialization', 'Embedded Sensor - an overview | ScienceDirect Topics', 'Embedding Sensors and Motors Specialization', 'Embedded Sensing Systems', 'Embedded Sensors with 3D Printing Technology: Review', 'Embedding sensors using selective laser melting for self ...', 'Embedded Electronics & Sensors', 'Embedding Sensors in Stainless Steel Using Laser ...', 'Embedded Sensors Help Monitor Composite Materials', 'Finnicum Motor Company | Used Car Dealership Serving ...']"
CVS Health Retail Customer Service,cvs health retail customer service,"['Contact Us', 'CVS Health Retail Customer Service Professional Certificate', 'In-Store Customer Service', 'Email Mobile Customer Care', 'Contact', 'Email Pharmacy Customer Relations', 'CVS Health Retail Customer Service', 'Help with CVS.comï¿½ï¿½ and Mobile', 'Customer Care Ramp - CVS Health Car']"
CVS Health Call Center Customer Service,cvs health call center customer service,"['Contact Us', 'CVS Health Call Center Customer Service Professional ...', 'Customer Care Ramp - CVS Health Careers', 'cvs health call center representative jobs', 'Customer Service Representative - Work From Home', 'How to Reach Us', 'Call Center Representative Salaries in California for CVS ...', 'CVS Health Call Center Customer Service Professional ...', 'CVS Health Customer Service Representative Jobs']"
Precalculus through Data and Modelling,"precalculus, modelling, data","['Precalculus | Math', 'Get ready for Precalculus | Math', 'Precalculus & Trigonometry - Mathematics LibreTexts', 'Free Precalculus Textbook Available for Download', 'AP Precalculus - AP Students - College Board', 'New Precalculus Video Playlist', 'Ch. 1 Introduction to Functions - Precalculus 2e', 'Precalculus', 'Modeling vs. Modelling', 'MODELLING Definition & Meaning']"
Gender Analytics: Gender Equity through Inclusive Design,"inclusive design, gender equity, gender analytics","['What is inclusive design?', 'Microsoft Inclusive Design', 'The principles of inclusive design: they include you', '9 Inclusive Design Examples for Everyone & Anyone', 'What is Inclusive Design? ï¿½ï¿½ï¿½ updated 2024 | IxDF', 'What do we mean by Inclusive Design?', 'Accessible Design vs. Inclusive Design with Infographic', 'What is Inclusive Design? - Accessibility by Design', 'What Is Gender Equity? Definition & Examples', 'gender equity']"
Building No-Code Apps with AppSheet,"code apps, building, appsheet","['Visual Studio Code - Code Editing. Redefined', 'Learn Coding/Programming: Mimo - Apps on Google Play', 'Want to teach your kids to code? Here are three apps that ...', 'App Lab', 'Cool Coding Apps and Websites for Kids', 'Mimo: Learn Coding/Programming on the App Store - Apple', 'Any mobile apps to practice coding : r/learnprogramming', 'Android Apps by Coding and Programming on ...', 'Best Apps and Websites for Learning Programming and Coding', 'Building']"
Android App Development,android app development,"['Android Developers: Android Mobile App Developer Tools', 'Where to learn android app development? : r/androiddev', 'Android software development', 'How Do I Make an Android App?', 'Android App Development Specialization', 'r/AndroidDev']"
"Concepts, Strategies, and Analytics in Performance Marketing and Digital Advertising","performance marketing, digital advertising, strategies, concepts, analytics","[""Performance Marketing: A Beginner's Guide to Ecommerce ..."", ""What Is Performance Marketing? Definition and Beginner's ..."", 'How Performance Marketing Works [+ 6 Tools You Can Use]', 'How to Get Started with Performance Marketing', 'Performance Marketing 101: Everything You Need to Know', 'How Brand Building and Performance Marketing Can Work ...', 'What is Performance Marketing?', 'Performance Marketing: What Is It and How Does It Work?', 'What is performance marketing - and how to start today', ""What is digital advertising? A beginner's guide | Amazon Ads""]"
"Project Management: Tools, Approaches, Behavioural Skills","project management, behavioural skills, tools, approaches","['PMI: Project Management Institute', 'What Is Project Management and What Are the Types?', 'Project Management: What Is Project Management?', 'Project management', 'Your complete guide to project management', 'Project Management Definition', 'Basics and Approaches ...', 'ProjectManagement.com - Home', 'Top 10 Behavioural Skills', 'Importance']"
Object Oriented Java Programming: Data Structures and Beyond,"object oriented java programming, data structures, beyond","['Object Oriented Java Programming: Data Structures and ...', 'Object Oriented Programming (OOPs) Concept in Java', ""Object-Oriented Programming in Java ï¿½ï¿½ï¿½ A Beginner's Guide"", 'Lesson: Object-Oriented Programming Concepts', 'Learn Java: Object-Oriented Programming', 'What Are OOP Concepts in Java? How They Work and More', 'Object Oriented Programming in Java', 'Data Structures Tutorial', 'Data structure', 'Introduction to Data Structures']"
Accounting Data Analytics,accounting data analytics,"['Accounting & Data Analytics: What You Need To Know', 'Accounting Data Analytics Specialization [4 courses] (UIUC)', 'Accounting Data Analyst Jobs', 'Employment', 'Why data analytics matters to accountants', 'All About the Four Types of Data Analytics for Accounting', 'The next frontier in data analytics', 'Accounting Data Analytics Graduate Certificate | Gies Online', ""Online Master's in Accounting & Data Analytics - MSU Broad ..."", 'Accounting Data Analytics and Technologies']"
Advanced Leadership Skills for the 21st Century,"advanced leadership skills, 21st century","['Advanced Leadership: The Eight Significant Principles', 'Advanced Leadership Skills and Techniques', 'Advanced Leadership Development Program', 'Advanced Leadership Skills', 'Advanced Leadership Skills for the 21st Century ...', 'Advanced leadership skills (ALS) - Catalyst Training', 'Advanced Leadership Certificate Program', 'Advanced Leadership Skills for Managers | Virtual Seminar', 'Advanced Leadership Skills for the 21st Century Work ...', '21st century']"
Patient Safety,patient safety,"['Patient safety', 'Patient safety', 'Patient Safety', 'Patient Safety and Quality Improvement', 'Defining Patient Safety and Quality Care', 'Patient Safety | CDC', 'Patient Safety: What You Can Do to Be a Safe Patient | HAI', '10 Patient Safety Tips for Hospitals', 'National Patient Safety Goals']"
FinTech: Finance Industry Transformation and Regulation,"finance industry transformation, regulation, fintech","['Next-gen technology transformation in financial services', 'Finance Digital Transformation: Predictions for 2025', 'The Digital Transformation Imperative in Financial Services', 'Finance Transformation: Roadmap', 'Strategy', 'Trends & ...', 'Digital Transformation In Finance Industry: A Complete Guide', 'Transformation and growth in banking', 'How New Technologies Will Transform the Future of Finance', 'Digital Transformation in Finance: Key Trends in 2024']"
"Python, Bash and SQL Essentials for Data Engineering","sql essentials, data engineering, python, bash","['The Ultimate Guide on SQL Basics', 'SQL Basics Cheat Sheet', 'SQL Introduction', '10 essential tools for SQL Server releases and productivity', 'SQL Essential Training Online Class', 'Sql Essentials: Randolph', 'Gary', 'Griffin', 'Jeffrey', 'SQL Basics ï¿½ï¿½ï¿½ Hands-On Beginner SQL Tutorial Analyzing ...']"
Managerial Economics and Business Analysis,"managerial economics, business analysis","['Managerial Economics Major', 'Chapter 1: Introduction to Managerial Economics', 'Managerial Economics', 'Managerial Economics: 9781118041581', 'Managerial Economics', 'What is Managerial Economics: Types', 'Nature & More', 'Managerial Economics Major', 'What is Managerial Economics? | Scope', 'Concepts']"
Autodesk CAD/CAM for Manufacturing,"autodesk cad, manufacturing, cam","['CAD Software | 2D and 3D Computer-Aided Design', 'Get Prices & Buy Official AutoCAD Software', 'Autodesk AutoCAD LT 2025 | Get Prices & Buy Official ...', 'AutoCAD Web App - Online CAD Editor & Viewer | Autodesk.', 'AutoCAD', 'Download Free Autodesk Software | Free Trials', 'Autodesk Education & Student Access', 'CAD Design Software | Computer-Aided Design', 'AutoCAD', '3D CAD Software for Drawing & Modeling']"
Introduction to Cybersecurity & Risk Management,"risk management, introduction, cybersecurity","['What is Risk Management?', 'Managing Risks: A New Framework', 'Risk management', 'Risk Management - Overview', 'Importance and Processes', 'What is risk management?', 'What Does Risk Management Involve? ï¿½ï¿½ï¿½ RiskOptics', 'What is Risk Management and Why is It Important?', 'What Is Risk Management & Why Is It Important? - HBS Online', 'What Is Risk Management in Finance']"
Become a Journalist: Report the News!,"report, news, journalist, become","['Report Definition & Meaning', 'Report', 'Home | RePORT', 'Report for America: Home Page', 'Employment Situation Summary - 2024 M04 Results', 'REPORT | definition in the Cambridge English Dictionary', 'REPORT Definition & Meaning', 'AR6 Synthesis Report: Climate Change 2023', 'Consumer Reports: Product Reviews and Ratings', 'Report Content On Google - Legal Help']"
Practical Data Science with MATLAB,"practical data science, matlab","['Hello! ï¿½ï¿½ï¿½ Practical Data Science', 'Practical Data Science', 'Practical Data Science with R', 'Second Edition', 'Practical Data Science with R', 'Practical Data Science with MATLAB Specialization', 'Practical Data Science with R', 'Second Edition [Book]', 'Practical Data Science: A Guide to Building the Technology ...', 'Practical Data Science for Information Professionals - ALA Store']"
Differential Calculus through Data and Modeling,"differential calculus, modeling, data","['Differential Calculus', 'Differential calculus', 'Differential calculus | Derivatives', 'Limits', 'Functions', 'Differential Calculus - Terms', 'Formulas', 'Rules', 'Examples', '8.1: Basics of Differential Equations - Math LibreTexts']"
Value-Based Care,"based care, value","['Value-based care transforms the patient experience in ...', 'Value-Based Care', 'Value-Based Care: What It Is', ""and Why It's Needed"", 'Value-Based Care Spotlight', 'Value-Based Care', 'Understanding Value-Based Care and Its Importance to ...', 'Value-Based Care - The Health of America', 'Value-based Care Report', 'What Is Value-Based Care']"
Modeling and Control of Power Electronics,"power electronics, modeling, control","['Power Electronics', 'Power electronics', 'What are Power Electronics? ï¿½ï¿½ï¿½ How it Works', 'Power Electronics', 'Definition of Power Electronics', 'IEEE Power Electronics Society: Home', 'Power Electronics - Definition', 'Working', 'Types and ...', 'Power Electronics']"
Applied Cryptography,applied cryptography,"['Applied Cryptography', 'Applied Cryptography: Protocols', 'Algorithms', 'and Source ...', 'APPLIED CRYPTOGRAPHY', 'SECOND EDITION', 'A Graduate Course in Applied Cryptography', 'Applied Cryptography', 'CS 6260: Applied Cryptography - OMSCS - Georgia Tech', 'Handbook of Applied Cryptography']"
Tally Bookkeeper,tally bookkeeper,"['Tally Bookkeeper Professional Certificate', 'Join our Bookkeeping and Accounting Professionals Network', 'Tally Services - Accounting & Bookkeeping in Fort Collins', 'Tally Bookkeeper - US News SkillBuilder', 'TallyPrime ï¿½ï¿½ï¿½ Complete Bookkeeping Software for India', 'Which is better in Coursera', ""'Intuit Academy Bookkeeping ..."", 'Tally Bookkeeping Solutions | Bookkeeping Service in Austin ...', 'Tally Accounting Solutions', 'Tally Bookkeeper']"
Object Oriented Programming,object oriented programming,"['Object-oriented programming', 'What Is OOP (Object Oriented Programming)?', 'Benefits of OOPs in Java: A Comprehensive Overview', 'Object-oriented programming - Wikipedia', '4.2. Introduction to Object Oriented Programming - OpenDSA', 'Should You Learn Object-Oriented Programming Languages? - Coursera', 'Introduction of Object Oriented Programming', 'What is the point of Object Oriented programming?', 'Object-oriented programming - Learn web development | MDN', 'What is object-oriented programming? OOP explained in ...']"
Health Information Literacy for Data Analytics,"health information literacy, data analytics","['What Is Health Literacy? | Health Literacy', 'Current Situations and Challenges in the Development ...', 'An Introduction to Health Literacy', 'Understanding Health Literacy', 'Health Literacy in Healthy People 2030', 'Health Literacy | National Institutes of Health (NIH)', 'Digital Health Literacy | PSNet', 'Health Literacy - Healthy People 2030', 'Health Literacy Fact Sheets', 'Data Analytics: What It Is']"
Integrative Nursing,integrative nursing,"['Principles of Integrative Nursing', 'Integrative Nursing: Application of Principles Across ...', 'Integrative Nursing | Bakken Center for Spirituality & Healing', 'Integrative Nursing Specialization [5 courses] (UMN)', 'Integrative Nursing - Mary Jo Kreitzer; Mary Koithan', 'Integrative Nursing Program', 'Integrative Nursing - Oxford Academic', 'Nursing Integrative Health Degree | The University of Arizona', 'The Role of Integrative Care in Nursing', 'Integrative Nursing: A Framework for Whole-Person Mental ...']"
Statistical Modeling for Data Science Applications,"data science applications, statistical modeling","['25 Data Science Applications and Examples', 'Applications of Data Science', 'Data Science Applications across 10 Industries | Rice MDS', 'Top 10 Data Science Applications with Examples and Use ...', 'What is Data Science? A Simple Explanation and More', '18 Data Science Tools to Consider Using in 2024', '10 Real-World Data Science Applications', 'Top 22 Data Science Applications of 2024', 'What Is Data Science? 5 Applications in Business - HBS Online', 'Top 25 Applications Based on Data Science']"
"Power System: Generation, Transmission and Protection","power system, transmission, protection, generation","['Power Systems: Fitness Equipment | Strength & Conditioning ...', 'What Are the Different Electrical Systems and Why They Matter in ...', 'Electrical System - an overview | ScienceDirect Topics', 'Components of Electrical Power Systems', 'eTool : Electric Power Generation', 'Transmission', 'and Distribution', 'Power System Engineering', 'Inc.: Home', 'What is Power System? Definition & Structure ...']"
Deep Learning for Healthcare,"deep learning, healthcare","['Deep learning', 'What is Deep Learning?', 'Deep Learning - MATLAB & Simulink', 'Introduction to Deep Learning', 'Deep Learning Specialization [5 courses] (DeepLearning.AI)', 'Deep Learning', 'Deep Learning', 'What is deep learning and how does it work?', 'What is Deep Learning? - MachineLearningMastery.com', 'HealthCare.gov: Still need health insurance?']"
Introduction to Applied Cryptography,"applied cryptography, introduction","['Applied Cryptography', 'Applied Cryptography: Protocols', 'Algorithms', 'and Source ...', 'APPLIED CRYPTOGRAPHY', 'SECOND EDITION', 'A Graduate Course in Applied Cryptography', 'Applied Cryptography', 'CS 6260: Applied Cryptography - OMSCS - Georgia Tech', 'Handbook of Applied Cryptography']"
Sustainable Cities,sustainable cities,"['Sustainable Cities', 'Sustainable Cities', 'What is a sustainable city? 10 characteristics of green ...', 'Goal 11: Make cities inclusive', 'safe', 'resilient and sustainable', 'Sustainable city', 'Sustainable Cities', 'Goal 11: Sustainable cities and communities', 'WRI Ross Center for Sustainable Cities']"
Leading: Human Resource Management and Leadership,"human resource management, leading, leadership","['What is Human Resource Management (HRM)?', 'HRM | What is Human Resource Management?', 'Welcome to SHRM | The Voice of All Things Work', 'Human resource management', 'What Is Human Resource Management? Definition ...', '1.1 What Is Human Resources?', 'Human Resources Managers : Occupational Outlook ...', '7 Human Resource Management Basics for Every HR ...', 'Human Resources (HR): Meaning and Responsibilities', 'What Is Human Resource Management? | Maryville Online']"
Introduction to Environmental Science,"environmental science, introduction","['Environmental science', 'Environmental Science Degrees', 'Careers & Green Jobs', 'Environmental science | Definition & Facts', 'Environmental Science Degrees', 'Environmental Science & Technology - ACS Publications', 'AP Environmental Science - AP Students - College Board', 'Environmental Scientists and Specialists', 'Environmental Science and Pollution Research', 'What is Earth and Environmental Science?']"
Cybersecurity Risk Management Framework,cybersecurity risk management framework,"['NIST Risk Management Framework RMF', 'NIST Risk Management Framework | CSRC', 'Cybersecurity Risk Management | Frameworks', 'Analysis & ...', '7 Cybersecurity Frameworks That Help Reduce Cyber Risk ...', 'Cybersecurity Risk Management Framework', 'Cybersecurity Risk Management: Frameworks', 'Plans', '& ...', 'Cyber security risk management framework - NCSC.GOV.UK']"
Business Strategies for A Better World,"business strategies, better world","['What Is Business Strategy & Why Is It Important? - HBS Online', 'What is Business Strategy? Definition', 'Importance', 'Levels', '...', '10 Steps to Building Business Strategies & ...', '3 Business Strategy Examples to Inspire Your Own - HBS Online', 'What is Strategy? Definition', 'Components & Examples ...', 'What is a Business Strategy? And How to Develop One!']"
Cybersecurity Risk Management Frameworks,cybersecurity risk management frameworks,"['NIST Risk Management Framework | CSRC', '7 Cybersecurity Frameworks That Help Reduce Cyber Risk ...', 'Cybersecurity Risk Management | Frameworks', 'Analysis & ...', 'Cybersecurity Framework | NIST', 'Cybersecurity Risk Management: Frameworks', 'Plans', '& ...', 'Top 12 IT security frameworks and standards explained', 'Essential Guide to Security Frameworks & 14 Examples']"
Technical Communication,technical communication,"['Defining Technical Communication', 'Technical Communication - BS - ASU Degrees', 'Technical Communication', 'What is Technical Communication?', 'TechComm', 'What is Tech Comm? - Technical Communication', '6 Types and Features of Technical Communication', '1. WHAT IS TECHNICAL COMMUNICATION?', 'Technical Communication']"
Content Strategy for Professionals,"content strategy, professionals","['Content Strategy 101', 'Content Strategy: What Is It & How to Develop One [2023]', 'Your 6-Step Guide to Building a Content Strategy in 2023', 'The Ultimate Guide to Creating a Content Marketing Strategy', 'Developing a Content Marketing Strategy', 'What is Content Strategy? (With Examples)', 'Content Strategy', '9 Steps to Building a Content Strategy that Gets Results', 'Professionals (TV Series 2020ï¿½ï¿½ï¿½2022)', 'Professionals (TV series)']"
Linear Algebra from Elementary to Advanced,"linear algebra, elementary, advanced","['Linear Algebra', 'Linear algebra', 'Linear algebra | Matrices', 'Vectors & Equations', 'Linear Algebra | Mathematics - MIT OpenCourseWare', '1: What is linear algebra - Mathematics LibreTexts', 'Essence of linear algebra', 'Linear Algebra Introduction | Linear Functions', 'Applications ...', 'Elementary (TV Series 2012ï¿½ï¿½ï¿½2019)']"
